id,podatek
719,Lauren Shuler-Donner
720,Léos Carax
721,Kira Muratova
722,Olivier Assayas
723,Franklin J. Schaffner
724,Atom Egoyan
725,Brian De Palma
726,Hideaki Anno
727,Carolynne Cunningham
728,Satoshi Kon
729,Glenn McQuaid
730,Alex Gibney
731,James Watkins
732,Ario Sagantoro
733,James Wan
734,Pablo Berger
735,David O. Russell
736,Wim Wenders
737,Stanley Donen
738,Charles Crichton
739,Forest Whitaker
740,Jimmy Hayward
741,Daniel Kwan
742,Mark Boal
743,David Scheinmann
744,Tomas Alfredson
745,François Truffaut
746,Drew Goddard
747,Pedro Almodóvar
748,Jon S. Baird
749,Jerome Robbins
750,Traci Curry
751,Ron Clements
752,James L. Brooks
753,Joss Whedon
754,John Wayne
755,Reni Santoni
756,Telly Savalas
757,Richard Lester
758,D.W. Griffith
759,Peter Weir
760,Ben Wheatley
761,Bob Rafelson
762,Mark Sandrich
763,Bill Melendez
764,Ryan Coogler
765,George Roy Hill
766,Jan Harlan
767,Corneliu Porumboiu
768,Dorothy Ann Blank
769,Karel Kachyna
770,Bruce Robinson
771,David Lynch
772,Dimitri Kirsanoff
773,Dariush Mehrjui
774,Anton Corbijn
775,Edward Saxon
776,Gregory La Cava
777,Robert Mitchum
778,Andrew Davis
779,Chao Wang
780,Robert Eggers
781,Edmund Goulding
782,Christine Cynn
783,Ben Sharpsteen
784,Claude Berri
785,Rainer Werner Fassbinder
786,Vikash Bhai
787,Gareth Evans
788,Cristian Mungiu
789,Lewis Seiler
790,Edward Sedgwick
791,Elia Kazan
792,Anthony Ng
793,Sam Mendes
794,Arthur Rankin
795,Tobe Hooper
796,Kelly Reichardt
797,Kenneth Utt
798,Anna Biller
799,John McLean
800,Laurence Ferreira Barbosa
801,Ciro Guerra
802,Amir El-Masry
803,Todd Haynes
804,Hamid Jebeli
805,Albert Lamorisse
806,Alexander Korda
807,Baltasar Kormákur
808,Jerry Zucker
809,Walter Lang
810,Francis Lawrence
811,Kirby Dick
812,Joshua Oppenheimer
813,George Cukor
814,Andrey Zvyagintsev
815,Terrence Malick
816,Cristina Gallego
817,John McTiernan
818,Justin Benson
819,John Boorman
820,Jeff Nichols
821,Osmany Rodriguez
822,Simon Kinberg
823,Michael Haneke
824,David Heyman
825,Robert Aldrich
826,George Archainbaud
827,Travis Knight
828,Chris Valentien
829,Katsuichi Nakayama
830,Chris Marker
831,Timothy Spall
832,Jim Handley
833,Mark Gustafson
834,Saïd Ben Saïd
835,Alexander Mackendrick
836,Chad Stahelski
837,Julio Bracho
838,Perce Pearce
839,Vincente Minnelli
840,Andrew Dominik
841,Roberto Orci
842,Alejandro Jodorowsky
843,Masaru Mori
844,Celina Murga
845,Apichatpong Weerasethakul
846,Steven Spielberg
847,Douglas Underdahl
848,Juan Carlos Fresnadillo
849,Stephen Fingleton
850,Stuart Gordon
851,Phil Feldman
852,David Miller
853,Martin Scorsese
854,Shunsaku Ikehata
855,Peyton Reed
856,Alexandre Moratto
857,Charise Castro Smith
858,Bryan Unkeless
859,Jafar Panahi
860,Basil Dearden
861,Bennett Miller
862,Nicolas Chartier
863,Tyler Gillett
864,Kentucker Audley
865,Luis Buñuel
866,Richard Donner
867,Charles Laughton
868,Ang Lee
869,Jacques Tourneur
870,Harry Bradbeer
871,Céline Sciamma
872,Tim Robbins
873,Chan-wook Park
874,Andreas Fontana
875,Isao Takahata
876,Bill Forsyth
877,James Mangold
878,Gregory Peck
879,Denis Sanders
880,Leo McCarey
881,Patrick Forbes
882,Mark Mylod
883,Lee Unkrich
884,Maria Schrader
885,Christian Tafdrup
886,Hsiao-Hsien Hou
887,Alan Badel
888,Ernst Lubitsch
889,Matt Reeves
890,Jean-Louis Trintignant
891,Tate Taylor
892,Maren Ade
893,Jacques Becker
894,Mark Hall
895,Pete Docter
896,Issa López
897,Harry Keller
898,Rodney Rothman
899,Jacques Tati
900,René Clair
901,Steven Knight
902,Joanna Hogg
903,Raoul Ruiz
904,Kevin Feige
905,Manny Palo
906,Chuck Jones
907,Gilles Carle
908,Ivan Ostrochovský
909,Joachim Trier
910,Ian Bryce
911,King Vidor
912,John Carpenter
913,Philippe de Broca
914,Makoto Shinkai
915,Bojena Horackova
916,Joel Potrykus
917,Ivan Reitman
918,Till Terror
919,Steve McQueen
920,Julia Ducournau
921,Dennis Hopper
922,Paul Briggs
923,Juzo Itami
924,Robert Totten
925,Cyril Cusack
926,Todd Hallowell
927,J. Lee Thompson
928,Brad Bird
929,Ryan Fleck
930,Laura Ziskin
931,Pi Ware
932,James Algar
933,Jon Shenk
934,Alberto Cavalcanti
935,Amy Heckerling
936,Joseph Cedar
