film,clovek,vloga
15,3475,Igralec
15,12916,Igralec
15,22159,Igralec
15,8811,Igralec
15,1768,Igralec
15,25161,Igralec
15,14866,Igralec
15,5332,Igralec
15,24025,Igralec
15,667,Igralec
15,19981,Igralec
15,18331,Igralec
15,1883,Igralec
15,17748,Igralec
15,11920,Igralec
15,21971,Igralec
15,2719,Igralec
15,37,Igralec
15,9711,Igralec
15,22434,Igralec
15,1285,Igralec
15,23723,Igralec
15,23239,Igralec
15,20128,Igralec
15,7462,Igralec
15,18348,Reziser
16,11279,Igralec
16,16754,Igralec
16,20792,Igralec
16,15974,Igralec
16,15678,Igralec
16,7042,Igralec
16,18460,Igralec
16,1906,Igralec
16,23193,Igralec
16,2240,Igralec
16,4779,Igralec
16,19853,Igralec
16,1169,Igralec
16,7718,Igralec
16,13658,Igralec
16,23791,Igralec
16,946,Igralec
16,21817,Igralec
16,20646,Igralec
16,24857,Igralec
16,14639,Igralec
16,22440,Igralec
16,20688,Igralec
16,11421,Igralec
16,24849,Igralec
16,56,Igralec
16,15863,Igralec
16,18679,Igralec
16,9900,Igralec
16,4486,Igralec
16,4176,Igralec
16,11893,Igralec
16,2007,Igralec
16,13717,Igralec
16,10665,Igralec
16,5486,Igralec
16,12631,Igralec
16,20151,Igralec
16,460,Igralec
16,21606,Igralec
16,15419,Igralec
16,7877,Igralec
16,3060,Igralec
16,15451,Igralec
16,7125,Igralec
16,512,Igralec
16,4153,Igralec
16,8359,Igralec
16,20709,Igralec
16,9645,Igralec
16,6089,Igralec
16,3607,Igralec
16,22075,Igralec
16,11092,Igralec
16,23410,Igralec
16,2944,Igralec
16,6835,Igralec
16,18274,Igralec
16,2630,Igralec
16,8510,Igralec
16,5317,Igralec
16,21501,Igralec
16,21407,Reziser
16,12866,Reziser
16,18781,Reziser
16,18102,Reziser
17,1931,Igralec
17,21432,Igralec
17,3116,Igralec
17,11694,Igralec
17,20971,Igralec
17,24928,Igralec
17,19568,Igralec
17,21805,Igralec
17,11084,Igralec
17,19713,Igralec
17,9417,Igralec
17,22104,Igralec
17,327,Igralec
17,3086,Igralec
17,17733,Igralec
17,4480,Igralec
17,23872,Igralec
17,19155,Igralec
17,23758,Igralec
17,17477,Igralec
17,21102,Igralec
17,5715,Igralec
17,13345,Igralec
17,9620,Igralec
17,11542,Igralec
17,20681,Igralec
17,24008,Igralec
17,24412,Igralec
17,4134,Igralec
17,6667,Igralec
17,13479,Igralec
17,20611,Igralec
17,5016,Igralec
17,9702,Igralec
17,9461,Igralec
17,12598,Igralec
17,2403,Igralec
17,7139,Igralec
17,22376,Igralec
17,21113,Igralec
17,15684,Igralec
17,23302,Igralec
17,1931,Reziser
18,4956,Igralec
18,12436,Igralec
18,7367,Igralec
18,8937,Igralec
18,19622,Igralec
18,3147,Igralec
18,2450,Igralec
18,10672,Igralec
18,11300,Igralec
18,2769,Igralec
18,20017,Igralec
18,4935,Igralec
18,4936,Igralec
18,13148,Igralec
18,23125,Igralec
18,1433,Igralec
18,917,Igralec
18,3481,Igralec
18,8598,Igralec
